  0.00000000E+00 -0.47996033E+01
  0.50095729E-02 -0.48000074E+01
  0.10019146E-01 -0.48012187E+01
  0.15028719E-01 -0.48032346E+01
  0.20038292E-01 -0.48060506E+01
  0.25047865E-01 -0.48096604E+01
  0.30057437E-01 -0.48140563E+01
  0.35067010E-01 -0.48192288E+01
  0.40076583E-01 -0.48251669E+01
  0.45086156E-01 -0.48318585E+01
  0.50095729E-01 -0.48392898E+01
  0.55105302E-01 -0.48474462E+01
  0.60114875E-01 -0.48563119E+01
  0.65124448E-01 -0.48658702E+01
  0.70134021E-01 -0.48761037E+01
  0.75143594E-01 -0.48869940E+01
  0.80153167E-01 -0.48985224E+01
  0.85162739E-01 -0.49106697E+01
  0.90172312E-01 -0.49234161E+01
  0.95181885E-01 -0.49367415E+01
  0.10019146E+00 -0.49506258E+01
  0.10520103E+00 -0.49650484E+01
  0.11021060E+00 -0.49799887E+01
  0.11522018E+00 -0.49954260E+01
  0.12022975E+00 -0.50113395E+01
  0.12523932E+00 -0.50277085E+01
  0.13024890E+00 -0.50445121E+01
  0.13525847E+00 -0.50617296E+01
  0.14026804E+00 -0.50793404E+01
  0.14527761E+00 -0.50973238E+01
  0.15028719E+00 -0.51156594E+01
  0.15529676E+00 -0.51343269E+01
  0.16030633E+00 -0.51533060E+01
  0.16531591E+00 -0.51725769E+01
  0.17032548E+00 -0.51921196E+01
  0.17533505E+00 -0.52119147E+01
  0.18034462E+00 -0.52319429E+01
  0.18535420E+00 -0.52521854E+01
  0.19036377E+00 -0.52726236E+01
  0.19537334E+00 -0.52932392E+01
  0.20038292E+00 -0.53140147E+01
  0.20539249E+00 -0.53349327E+01
  0.21040206E+00 -0.53559765E+01
  0.21541164E+00 -0.53771300E+01
  0.22042121E+00 -0.53983776E+01
  0.22543078E+00 -0.54197042E+01
  0.23044035E+00 -0.54410957E+01
  0.23544993E+00 -0.54625385E+01
  0.24045950E+00 -0.54840195E+01
  0.24546907E+00 -0.55055266E+01
  0.25047865E+00 -0.55270484E+01
  0.25548822E+00 -0.55485741E+01
